"C","N","Z","A","SYM","ORIG","Excess","unc1","BEA","unc2","btype","benergy","bunc","mass","munc","halflife","spin-parity","Qbeta","Qposi","Qec","Qalpha"
" ",6,3,9,"Li ","    ",24954.3,1.9,5037.84,0.22,"B-",13606.6,1.9,9.0267895,2.1,"178.3 ms","3/2-",13.606699999999998,-17.006700000000002,-15.9847,-10.360616000000002
" ",5,4,9,"Be ","    ",11347.6,0.4,6462.76,0.04,"  ","*","*",9.0121822,0.4,"stable","3/2-",-1.0681000000000003,-14.628699999999998,-13.606699999999998,-2.467316
" ",4,5,9,"B  ","   -",12415.7,1.0,6257.16,0.11,"B+",1068.0,0.9,9.0133288,1.1,"0.54 kev","3/2-",-16.494799999999998,0.04610000000000036,1.0681000000000003,-1.6892159999999994
" ",3,6,9,"C  "," -pp",28910.5,2.1,4337.48,0.24,"B+",16494.8,2.4,9.0310367,2.3,"126.5 ms","(3/2-)",0.0,15.4728,16.494799999999998,-11.514416
"0",8,2,10,"He ","  ++",48810.0,70.0,3034.0,7.0,"B-",15760.0,70.0,10.0524,80.0,"None","None",15.759,0.0,0.0,0.0
" ",7,3,10,"Li ","  -n",33051.0,15.0,4531.6,1.5,"B-",20444.0,15.0,10.035481,16.0,"1.2 mev","",20.4443,-16.781,-15.759,-11.233916
" ",6,4,10,"Be ","    ",12606.7,0.4,6497.71,0.04,"B-",555.9,0.6,10.013533800000001,0.4,"1.51e+6 y","0+",0.556,-21.4663,-20.4443,-7.413315999999998
" ",5,5,10,"B  ","    ",12050.7,0.4,6475.07,0.04,"  ","*","*",10.012937,0.4,"stable","3+",-3.648,-1.578,-0.556,-4.461008999999999
" ",4,6,10,"C  ","   -",15698.7,0.4,6032.04,0.04,"B+",3647.95,0.12,10.0168532,0.4,"19.255 s","0+",-23.1013,2.626,3.648,-5.101215999999999
" ",3,7,10,"N  ","  --",38800.0,400.0,3640.0,40.0,"B+",23100.0,400.0,10.04165,430.0,"None","None",0.0,22.0793,23.1013,-7.224916
"0",8,3,11,"Li ","    ",40797.0,19.0,4149.1,1.8,"B-",20623.0,20.0,11.043798,21.0,"8.59 ms","3/2-",20.623,0.0,0.0,-10.767916000000001
" ",7,4,11,"Be ","  -n",20174.0,6.0,5952.8,0.6,"B-",11506.0,6.0,11.021658,7.0,"13.81 s","1/2+",11.5061,-21.645,-20.623,-8.351916000000001
" ",6,5,11,"B  ","    ",8667.9,0.4,6927.71,0.04,"  ","*","*",11.0093054,0.4,"stable","3/2-",-1.9823999999999997,-12.5281,-11.5061,-8.665156
" ",5,6,11,"C  ","    ",10650.3,1.0,6676.37,0.09,"B+",1982.4,0.9,11.0114336,1.0,"1223.1 s","3/2-",-13.649700000000001,0.9603999999999996,1.9823999999999997,-7.544646000000002
" ",4,7,11,"N  ","  -p",24300.0,50.0,5364.0,4.0,"B+",13650.0,50.0,11.02609,50.0,"None","None",0.0,12.6277,13.649700000000001,-5.994916
"0",9,3,12,"Li ","   x",50100.0,1000.0,3700.0,80.0,"B-",25020.0,1000.0,12.05378,1070.0,"None","None",25.023,0.0,0.0,0.0
" ",8,4,12,"Be "," -nn",25077.0,15.0,5720.8,1.3,"B-",11708.0,15.0,12.026921,16.0,"21.3 ms","0+",11.7081,-26.045,-25.023,-8.945916
" ",7,5,12,"B  "," +pn",13368.9,1.4,6631.26,0.12,"B-",13368.9,1.4,12.0143521,1.5,"20.20 ms","1+",13.3689,-12.7301,-11.7081,-10.002856
" ",6,6,12,"C  ","    ",0.0,0.0,7680.144,0.0,"  ","*","*",12.0,0.0,"stable","0+",-17.338099999999997,-14.3909,-13.3689,-7.366586
" ",5,7,12,"N  ","    ",17338.1,1.0,6170.11,0.08,"B+",17338.1,1.0,12.018613199999999,1.1,"11.000 ms","1+",-14.709900000000001,16.3161,17.338099999999997,-8.008316000000002
" ",4,8,12,"O  "," -pp",32048.0,18.0,4879.1,1.5,"B+",14710.0,18.0,12.034405,20.0,"0.40 mev","0+",0.0,13.6879,14.709900000000001,-5.470916
"0",9,4,13,"Be ","  -n",33250.0,70.0,5273.0,6.0,"B-",16690.0,70.0,13.03569,80.0,"2.7e-21 s","(1/2-)",16.6878,0.0,0.0,-10.113916000000001
" ",8,5,13,"B  "," -nn",16562.2,1.1,6496.4,0.08,"B-",13437.2,1.1,13.017780199999999,1.2,"17.36 ms","3/2-",13.4371887,-17.709799999999998,-16.6878,-10.817015999999999
" ",7,6,13,"C  ","    ",3125.0113,0.0009,7469.849,0.0,"  ","*","*",13.0033548378,0.001,"stable","1/2-",-2.2204686999999996,-14.4591887,-13.4371887,-10.6475047
" ",6,7,13,"N  ","    ",5345.48,0.27,7238.863,0.021,"B+",2220.47,0.27,13.00573861,0.29,"9.965 m","1/2-",-17.76652,1.1984686999999994,2.2204686999999996,-9.495136000000002
" ",5,8,13,"O  "," +3n",23112.0,10.0,5812.0,0.7,"B+",17767.0,10.0,13.024812,10.0,"8.58 ms","(3/2-)",0.0,16.74452,17.76652,-8.223416
"0",10,4,14,"Be ","   x",39950.0,130.0,4994.0,9.0,"B-",16290.0,130.0,14.04289,140.0,"4.35 ms","",16.286,0.0,0.0,-11.284916
" ",9,5,14,"B  ","    ",23664.0,21.0,6101.6,1.5,"B-",20644.0,21.0,14.025404,23.0,"12.5 ms","2-",20.644106999999998,-17.308,-16.286,-11.811916000000002
" ",8,6,14,"C  ","    ",3019.893,0.004,7520.319,0.0,"B-",156.476,0.004,14.003241989,0.004,"5700 y","0+",0.15647600000000011,-21.666107,-20.644106999999998,-12.011723000000002
" ",7,7,14,"N  ","    ",2863.417,0.0006,7475.614,0.0,"  ","*","*",14.003074004799998,0.0006,"stable","1+",-5.143942999999999,-1.178476,-0.15647600000000011,-11.612199
" ",6,8,14,"O  ","    ",8007.36,0.11,7052.308,0.008,"B+",5143.94,0.11,14.00859625,0.12,"70.606 s","0+",-24.652639999999998,4.121942999999999,5.143942999999999,-10.116256000000002
" ",5,9,14,"F  ","   x",32660.0,400.0,5236.0,29.0,"B+",24650.0,400.0,14.03506,430.0,"None","None",0.0,23.63064,24.652639999999998,-8.564916
"0",11,4,15,"Be ","-n2p",49800.0,500.0,4540.0,30.0,"B-",20830.0,500.0,15.05346,540.0,"None","None",20.828,0.0,0.0,0.0
" ",10,5,15,"B  "," +3p",28972.0,22.0,5879.0,1.5,"B-",19099.0,22.0,15.031103,24.0,"9.93 ms","",19.0989,-21.85,-20.828,-14.249916
" ",9,6,15,"C  ","  -n",9873.1,0.8,7100.17,0.05,"B-",9771.7,0.8,15.0105993,0.9,"2.449 s","1/2+",9.771662000000001,-20.120900000000002,-19.0989,-12.725815999999998
" ",8,7,15,"N  ","    ",101.438,0.0007,7699.459,0.0,"  ","*","*",15.000108898199999,0.0007,"stable","1/2-",-2.754162,-10.793662,-9.771662000000001,-10.991378000000001
" ",7,8,15,"O  ","    ",2855.6,0.5,7463.69,0.03,"B+",2754.2,0.5,15.0030656,0.5,"122.24 s","1/2-",-13.9244,1.7321619999999998,2.754162,-10.219615999999998
" ",6,9,15,"F  "," p4n",16780.0,130.0,6484.0,9.0,"B+",13920.0,130.0,15.01801,140.0,"1.0 mev","(1/2+)",0.0,12.9024,13.9244,-9.944916000000001
"0",12,4,16,"Be ","   x",57680.0,500.0,4270.0,30.0,"B-",20600.0,510.0,16.06192,540.0,"None","None",20.6,0.0,0.0,0.0
" ",11,5,16,"B  ","   x",37080.0,60.0,5509.0,4.0,"B-",23390.0,60.0,16.03981,60.0,"190 ps","0-",23.386,-21.622,-20.6,-15.444916000000001
" ",10,6,16,"C  "," -nn",13694.0,4.0,6922.05,0.22,"B-",8010.0,4.0,16.014701,4.0,"0.747 s","0+",8.0103,-24.408,-23.386,-13.807916
" ",9,7,16,"N  ","  -n",5683.7,2.6,7373.81,0.16,"B-",10420.7,2.6,16.0061017,2.8,"7.13 s","2-",10.42070141,-9.0323,-8.0103,-10.110116
" ",8,8,16,"O  ","    ",-4737.00141,0.00016,7976.206,0.0,"  ","*","*",15.99491461956,0.00016,"stable","0+",-15.417001410000001,-11.44270141,-10.42070141,-7.16191741
" ",7,9,16,"F  ","   -",10680.0,8.0,6963.7,0.5,"B+",15417.0,8.0,16.011466,9.0,"40 kev","0-",-13.316,14.39500141,15.417001410000001,-9.083015999999999
" ",6,10,16,"Ne ","  --",23996.0,20.0,6082.6,1.3,"B+",13316.0,22.0,16.025761,22.0,"122 kev","0+",0.0,12.294,13.316,-10.476916000000001
"0",12,5,17,"B  ","   x",43770.0,170.0,5266.0,10.0,"B-",22730.0,170.0,17.04699,180.0,"5.08 ms","(3/2-)",22.731,0.0,0.0,0.0
" ",11,6,17,"C  ","2p-n",21039.0,17.0,6557.6,1.0,"B-",13167.0,23.0,17.022586,19.0,"193 ms","",13.168,-23.753,-22.731,-14.635916000000002
" ",10,7,17,"N  ","  +p",7871.0,15.0,7286.2,0.9,"B-",8680.0,15.0,17.00845,16.0,"4.173 s","1/2-",8.67981,-14.19,-13.168,-11.116116000000002
" ",9,8,17,"O  ","    ",-808.81,0.11,7750.731,0.006,"  ","*","*",16.9991317,0.12,"stable","5/2+",-2.76051,-9.70181,-8.67981,-6.3587373000000005
" ",8,9,17,"F  ","    ",1951.7,0.25,7542.328,0.015,"B+",2760.51,0.27,17.00209524,0.27,"64.49 s","5/2+",-14.5093,1.7385100000000002,2.76051,-5.818696
" ",7,10,17,"Ne "," +3n",16461.0,27.0,6642.8,1.6,"B+",14509.0,27.0,17.017672,29.0,"109.2 ms","1/2-",0.0,13.4873,14.5093,-9.075916000000001
"0",13,5,18,"B  ","   x",52320.0,800.0,4950.0,50.0,"B-",27400.0,800.0,18.05617,860.0,"None","None",27.39,0.0,0.0,0.0
" ",12,6,18,"C  ","  ++",24930.0,30.0,6425.7,1.7,"B-",11810.0,40.0,18.02676,30.0,"92 ms","(0+)",11.816,-28.412,-27.39,-17.444916000000003
" ",11,7,18,"N  ","   +",13114.0,19.0,7038.5,1.0,"B-",13896.0,19.0,18.014079,20.0,"624 ms","1-",13.8955,-12.838,-11.816,-12.974916
" ",10,8,18,"O  ","    ",-781.5,0.6,7767.03,0.03,"  ","*","*",17.999161,0.7,"stable","0+",-1.6552,-14.9175,-13.8955,-6.2263090000000005
" ",9,9,18,"F  ","    ",873.7,0.5,7631.605,0.03,"B+",1655.2,0.6,18.000938,0.6,"109.77 m","1+",-4.4434700000000005,0.6332000000000001,1.6552,-4.414633
" ",8,10,18,"Ne ","  4n",5317.17,0.28,7341.282,0.016,"B+",4443.5,0.6,18.0057082,0.3,"1.672 s","0+",-18.87283,3.4214700000000002,4.4434700000000005,-5.115106
" ",7,11,18,"Na ","   x",24190.0,50.0,6249.3,2.8,"B+",18870.0,50.0,18.02597,50.0,"None","None",0.0,17.850830000000002,18.87283,-10.894916
"0",14,5,19,"B  ","   x",59360.0,400.0,4741.0,21.0,"B-",26940.0,410.0,19.06373,430.0,"None","None",26.94,0.0,0.0,0.0
" ",13,6,19,"C  ","  -n",32420.0,100.0,6118.0,5.0,"B-",16560.0,100.0,19.03481,110.0,"None","None",16.558,-27.962,-26.94,-19.804916000000002
" ",12,7,19,"N  ","p-2n",15862.0,16.0,6948.2,0.9,"B-",12527.0,17.0,19.017029,18.0,"0.271 s","(1/2-)",12.5271,-17.58,-16.558,-15.534916
" ",11,8,19,"O  ","  -n",3334.9,2.8,7566.39,0.15,"B-",4822.3,2.8,19.00358,3.0,"26.88 s","5/2+",4.82229,-13.549100000000001,-12.5271,-8.963116000000001
" ",10,9,19,"F  ","    ",-1487.39,0.07,7779.015,0.004,"  ","*","*",18.99840322,0.07,"stable","1/2+",-3.23883,-5.84429,-4.82229,-4.013744000000001
" ",9,10,19,"Ne ","    ",1751.44,0.29,7567.375,0.015,"B+",3238.83,0.29,19.0018802,0.3,"17.22 s","1/2+",-11.175559999999999,2.21683,3.23883,-3.529076
" ",8,11,19,"Na "," p4n",12927.0,12.0,6938.0,0.6,"B+",11175.0,12.0,19.013877,13.0,"None","None",-20.113,10.153559999999999,11.175559999999999,-6.277916
" ",7,12,19,"Mg ","   x",33040.0,250.0,5838.0,13.0,"B+",20110.0,250.0,19.03547,270.0,"None","None",0.0,19.091,20.113,0.0
"0",14,6,20,"C  ","   x",37560.0,240.0,5959.0,12.0,"B-",15790.0,250.0,20.04032,260.0,"14 ms","",15.79,0.0,0.0,-22.544916
" ",13,7,20,"N  ","   x",21770.0,60.0,6709.2,2.8,"B-",17970.0,60.0,20.02337,60.0,"130 ms","",17.9725,-16.812,-15.79,-17.734916000000002
" ",12,8,20,"O  "," -nn",3797.5,1.1,7568.51,0.05,"B-",3814.9,1.1,20.0040767,1.2,"13.51 s","0+",3.8149,-18.9945,-17.9725,-12.321416000000001
" ",11,9,20,"F  ","    ",-17.4,0.08,7720.131,0.004,"B-",7024.53,0.08,19.99998132,0.08,"11.163 s","2+",7.0245313000000005,-4.8369,-3.8149,-8.126016
" ",10,10,20,"Ne ","    ",-7041.9313,0.0018,8032.24,0.0,"  ","*","*",19.9924401754,0.0019,"stable","0+",-13.8899313,-8.0465313,-7.0245313000000005,-4.729845890000001
" ",9,11,20,"Na ","   -",6848.0,7.0,7298.6,0.3,"B+",13890.0,7.0,20.007351,7.0,"447.9 ms","2+",-10.722,12.8679313,13.8899313,-6.256916
" ",8,12,20,"Mg ","  4n",17570.0,27.0,6723.4,1.4,"B+",10723.0,28.0,20.018863,29.0,"90.8 ms","0+",0.0,9.7,10.722,-8.850916000000002
"0",15,6,21,"C  ","   x",45960.0,500.0,5659.0,24.0,"B-",20710.0,510.0,21.04934,540.0,"None","None",20.71,0.0,0.0,0.0
" ",14,7,21,"N  ","   x",25250.0,100.0,6608.0,5.0,"B-",17190.0,100.0,21.02711,100.0,"85 ms","(1/2-)",17.187,-21.732,-20.71,-20.944916000000003
" ",13,8,21,"O  "," -3n",8063.0,12.0,7389.3,0.6,"B-",8110.0,12.0,21.008656,13.0,"3.42 s","(5/2+)",8.1106,-18.209,-17.187,-15.400916
" ",12,9,21,"F  "," -nn",-47.6,1.8,7738.29,0.09,"B-",5684.2,1.8,20.999949,1.9,"4.158 s","5/2+",5.68418,-9.1326,-8.1106,-10.343516
" ",11,10,21,"Ne ","  -n",-5731.78,0.04,7971.713,0.002,"  ","*","*",20.99384668,0.04,"stable","3/2+",-3.54758,-6.70618,-5.68418,-7.347886
" ",10,11,21,"Na ","  -p",-2184.2,0.7,7765.52,0.03,"B+",3547.6,0.7,20.9976552,0.8,"22.49 s","3/2+",-13.0952,2.5255799999999997,3.54758,-6.560816
" ",9,12,21,"Mg "," +3n",10911.0,16.0,7104.7,0.8,"B+",13095.0,16.0,21.011713,18.0,"122 ms","5/2+",-15.209,12.0732,13.0952,-7.974916
" ",8,13,21,"Al ","   x",26120.0,300.0,6343.0,14.0,"B+",15210.0,300.0,21.02804,320.0,"35 ns","(5/2+)",0.0,14.187,15.209,0.0
"0",16,6,22,"C  ","   x",53280.0,900.0,5440.0,40.0,"B-",21240.0,920.0,22.0572,970.0,"6.1 ms","0+",21.24,0.0,0.0,0.0
" ",15,7,22,"N  ","   x",32040.0,190.0,6366.0,9.0,"B-",22750.0,200.0,22.03439,210.0,"24 ms","",22.76,-22.262,-21.24,-22.704916
" ",14,8,22,"O  "," -4n",9280.0,60.0,7364.8,2.6,"B-",6490.0,60.0,22.00997,60.0,"2.25 s","0+",6.487,-23.782,-22.76,-18.074916
" ",13,9,22,"F  ","   +",2793.0,12.0,7624.3,0.6,"B-",10818.0,12.0,22.002999,13.0,"4.23 s","(4+)",10.817715,-7.509,-6.487,-12.745916000000001
" ",12,10,22,"Ne ","    ",-8024.715,0.018,8080.465,0.001,"  ","*","*",21.991385114,0.019,"stable","0+",-2.8423150000000006,-11.839715,-10.817715,-9.668131
" ",11,11,22,"Na ","   -",-5182.4,0.4,7915.709,0.019,"B+",2842.3,0.4,21.994436399999998,0.4,"2.6027 y","3+",-4.785399999999999,1.8203150000000006,2.8423150000000006,-8.481016
" ",10,12,22,"Mg "," +nn",-397.0,1.3,7662.63,0.06,"B+",4785.5,1.4,21.9995738,1.4,"3.8755 s","0+",-18.577,3.7634,4.785399999999999,-8.139086
" ",9,13,22,"Al ","   x",18180.0,90.0,6783.0,4.0,"B+",18580.0,90.0,22.01952,100.0,"59 ms","(3)+",-13.98,17.555,18.577,-8.434916000000001
" ",8,14,22,"Si ","   x",32160.0,200.0,6111.0,9.0,"B+",13980.0,220.0,22.03453,220.0,"29 ms","0+",0.0,12.958,13.98,0.0
"0",16,7,23,"N  ","   x",38400.0,300.0,6164.0,13.0,"B-",23780.0,320.0,23.04122,320.0,"14.5 ms","",23.79,0.0,0.0,-23.384916
" ",15,8,23,"O  ","   x",14610.0,120.0,7164.0,5.0,"B-",11280.0,150.0,23.01569,130.0,"82 ms","",11.28,-24.812,-23.79,-20.234916000000002
" ",14,9,23,"F  ","p-2n",3330.0,80.0,7620.0,3.0,"B-",8480.0,80.0,23.00357,90.0,"2.23 s","(3/2,5/2)+",8.48405,-12.302,-11.28,-14.956916000000001
" ",13,10,23,"Ne ","  -n",-5154.05,0.1,7955.255,0.005,"B-",4375.81,0.1,22.9944669,0.11,"37.24 s","5/2+",4.3758036,-9.50605,-8.48405,-10.913866000000002
" ",12,11,23,"Na ","    ",-9529.8536,0.0027,8111.493,0.0,"  ","*","*",22.989769280900003,0.0029,"stable","3/2+",-4.0560536,-5.3978036000000005,-4.3758036,-10.467379600000001
" ",11,12,23,"Mg ","    ",-5473.8,1.3,7901.13,0.06,"B+",4056.1,1.3,22.9941237,1.4,"11.317 s","3/2+",-12.243799999999998,3.0340536,4.0560536,-9.650155999999999
" ",10,13,23,"Al "," p4n",6770.0,19.0,7334.8,0.8,"B+",12243.0,19.0,23.007267,20.0,"0.47 s","5/2+",-17.0,11.2218,12.243799999999998,-8.581916000000001
" ",9,14,23,"Si ","   x",23770.0,200.0,6562.0,9.0,"B+",17000.0,200.0,23.02552,210.0,"42.3 ms","",0.0,15.978,17.0,-11.694916000000001
"0",17,7,24,"N  ","   x",47540.0,400.0,5862.0,17.0,"B-",28470.0,470.0,24.05104,430.0,"52 ns","",28.47,0.0,0.0,0.0
" ",16,8,24,"O  ","   x",19070.0,240.0,7016.0,10.0,"B-",11510.0,250.0,24.02047,250.0,"61 ms","0+",11.51,-29.492,-28.47,-20.914916
" ",15,9,24,"F  ","   x",7560.0,70.0,7463.0,3.0,"B-",13510.0,70.0,24.00812,80.0,"400 ms","(1,2,3)+",13.5115,-12.532,-11.51,-16.634916
" ",14,10,24,"Ne "," -nn",-5951.5,0.4,7993.319,0.016,"B-",2466.6,0.4,23.9936108,0.4,"3.38 m","0+",2.4666100000000006,-14.5335,-13.5115,-12.173916000000002
" ",13,11,24,"Na ","  -n",-8418.11,0.08,8063.496,0.003,"B-",5515.45,0.08,23.99096278,0.08,"20.20 ms","1+",5.515456999999999,-3.4886100000000004,-2.4666100000000006,-10.825626
" ",12,12,24,"Mg ","    ",-13933.567,0.013,8260.709,0.001,"  ","*","*",23.9850417,0.014,"stable","0+",-13.876667,-6.537456999999998,-5.515456999999999,-9.3165517
" ",11,13,24,"Al ","   -",-56.9,2.8,7649.92,0.12,"B+",13876.6,2.8,23.9999389,3.0,"2.053 s","4+",-10.8119,12.854667,13.876667,-9.329816
" ",10,14,24,"Si ","  --",10755.0,19.0,7166.8,0.8,"B+",10812.0,20.0,24.011546,21.0,"140 ms","0+",-21.245,9.7899,10.8119,-9.239916000000001
" ",9,15,24,"P  ","   x",32000.0,500.0,6249.0,21.0,"B+",21240.0,500.0,24.03435,540.0,"None","None",0.0,20.223,21.245,0.0
"0",18,7,25,"N  ","   x",56500.0,500.0,5592.0,20.0,"B-",29060.0,570.0,25.06066,540.0,"None","None",29.06,0.0,0.0,0.0
" ",17,8,25,"O  ","  -n",27440.0,260.0,6723.0,10.0,"B-",16170.0,280.0,25.02946,280.0,"50 ns","(3/2+)",16.17,-30.082,-29.06,-20.944916000000003
" ",16,9,25,"F  ","   x",11270.0,100.0,7339.0,4.0,"B-",13380.0,100.0,25.0121,110.0,"50 ms","(5/2+)",13.378,-17.192,-16.17,-16.404916
" ",15,10,25,"Ne ","   x",-2108.0,26.0,7842.7,1.0,"B-",7250.0,26.0,24.997737,28.0,"602 ms","(1/2,3/2)+",7.2498,-14.4,-13.378,-12.595916
" ",14,11,25,"Na "," -nn",-9357.8,1.2,8101.4,0.05,"B-",3835.0,1.2,24.989954,1.3,"59.1 s","5/2+",3.8350300000000006,-8.271799999999999,-7.2498,-11.735115999999998
" ",13,12,25,"Mg ","    ",-13192.83,0.03,8223.504,0.001,"  ","*","*",24.98583692,0.03,"stable","5/2+",-4.276629999999999,-4.857030000000001,-3.8350300000000006,-9.885966
" ",12,13,25,"Al ","  -p",-8916.2,0.5,8021.144,0.019,"B+",4276.7,0.5,24.990428100000003,0.5,"7.183 s","5/2+",-12.740200000000002,3.2546299999999992,4.276629999999999,-9.156916
" ",11,14,25,"Si "," +3n",3824.0,10.0,7480.2,0.4,"B+",12740.0,10.0,25.004106,11.0,"220 ms","5/2+",-15.046,11.718200000000001,12.740200000000002,-9.511916000000001
" ",10,15,25,"P  ","   x",18870.0,200.0,6847.0,8.0,"B+",15050.0,200.0,25.02026,210.0,"30 ns","(1/2+)",0.0,14.024,15.046,-9.674916000000001
"0",18,8,26,"O  "," -nn",35710.0,260.0,6457.0,10.0,"B-",17440.0,310.0,26.03834,280.0,"None","None",17.44,0.0,0.0,-19.994916
" ",17,9,26,"F  ","   x",18270.0,170.0,7098.0,6.0,"B-",17840.0,170.0,26.01962,180.0,"9.6 ms","1+",17.84,-18.462,-17.44,-16.194916000000003
" ",16,10,26,"Ne ","   x",430.0,27.0,7753.9,1.0,"B-",7292.0,27.0,26.000461,29.0,"197 ms","0+",7.292,-18.862,-17.84,-11.274916000000001
" ",15,11,26,"Na ","   x",-6862.0,6.0,8004.26,0.22,"B-",9352.0,6.0,25.992633,6.0,"1.077 s","3+",9.352582,-8.314,-7.292,-12.079916
" ",14,12,26,"Mg ","    ",-16214.582,0.027,8333.872,0.001,"  ","*","*",25.982592929000003,0.03,"stable","0+",-4.004272000000001,-10.374582,-9.352582,-10.614783
" ",13,13,26,"Al ","    ",-12210.31,0.06,8149.771,0.002,"B+",4004.27,0.06,25.98689169,0.06,"7.17e+5 y","5+",-5.065309999999999,2.982272000000001,4.004272000000001,-9.452826000000002
